Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,7.4,..,7.4,..,7.3,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.99463415,79.23414634,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.902,1.756,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,1.581,..
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.965,17.9326,12.302,12.1846,12.0672,11.9498,11.8324,11.715,11.3258,10.9366,10.5474,..
Australia,AUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,67.8,..,..,..,66.9,..,..,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,99.3,99.2,99,99.8,98.8,98.8,99.4,98.7,98.8,..,..
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,9.2,6.2,4.3,4.1,4,3.9,3.8,3.8,3.7,3.7,3.7,..
Australia,AUS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86,91,94,94,94,95,95,94,94,94,93,93
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.3717194,100.7219315,105.9844513,105.9938507,105.4570923,101.5999069,100.7444077,100.3389816,100.1605911,99.72714996,99.02160645,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,157.1676636,153.0131989,150.3114777,132.7728882,140.6460419,134.4505157,..
Australia,AUS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,0.925260007,0.925170004,0.937539995,0.968850017,0.964070022,0.979290009,..
Australia,AUS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1338822,1318141,1309654.6,1316751.4,1323848.2,1330945,1340372,1340174,1340051,1340051,1340051,..
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,28.59184172,29.70879373,29.70879373,29.70879262,30.39552785,32.12041507
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,4.402284553,3.225203252,3.891869919,3.752642276,1.87398374,2.159146341,2.450943368,2.52548824,1.988335683,..,..
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,1.444941615,0.984333804,1.865330137,1.838175799,1.608455102,1.554800599,1.677390128,1.774528892,1.628637215,1.615335783,1.371462726,0.267934456
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5061.500154,5680.902876,5575.287093,5468.391369,5334.681679,5483.816402,..,..,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.44846309,17.83874781,17.02204223,16.44231571,15.83042152,15.863288,15.91465712,15.82324174,15.50348628,15.25361834,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8527.214094,10260.44624,10407.74031,10220.8873,10071.39898,..,..,..,..,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,3.11434E+11,4.15851E+11,1.54689E+12,1.57638E+12,1.46755E+12,1.35062E+12,1.20654E+12,1.32652E+12,1.42829E+12,1.39223E+12,1.3269E+12,1.55267E+12
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.576485761,3.901171371,3.902007806,2.578754288,2.579017112,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,17.03771608,21.56170714,21.66739103,21.28919139,21.37536853,21.55503741,21.55057682,20.72016138,21.516144,21.67518659,20.22515106,17.7948769
Australia,AUS,Time required to start a business (days),IC.REG.DURS,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,..,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,1.08483674,45.02059448,107.0777947,107.910329,106.7765212,108.1853261,109.7343698,108.4165835,110.6519296,108.5886162,106.9417431,104.509498
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,17.28031183,18.00245691,18.9827747,19.68531481,20.60981426,18.08939302,18.17692084,21.31103172,21.48722083,22.39023042
Australia,AUS,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Net migration,SM.POP.NETM,95996,109375,235719,214564,198120,209466,242184,244875,220307,235860,117929,117929
Australia,AUS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2369583740,518334052.9,2405316867,2442450025,2329656677,2174651380,2056844753,2001928453,1861417361,1752198311,1186972700,922279965
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8457776860,14892978180,57550426823,54465480055,63202728079,46892808568,42969505135,48198614235,61324623203,39101199005,18700681395,29126627751
Australia,AUS,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.333021952,4.457435148,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,59.78147763,74.37565036,105.1248699,107.7003122,110.3798127,112.0447451,113.4755463,115.6867846,117.8980229,119.7970864,120.8116545,124.2715921
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,32.15231723,40.96698683,43.1667351,41.27489915,42.47174241,41.62310841,40.82283483,41.95134487,43.38954812,45.8267257,44.23343408,39.87004541
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.929999828,6.28000021,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.119999886
Australia,AUS,GNI (current US$),NY.GNP.MKTP.CD,3.00587E+11,4.03861E+11,1.49987E+12,1.53718E+12,1.42924E+12,1.32318E+12,1.17815E+12,1.29051E+12,1.38359E+12,1.34572E+12,1.29707E+12,1.53546E+12
Mexico,MEX,"Population, total",SP.POP.TOTL,81720428,97873442,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.83597705,1.584550787,1.396615462,1.317160793,1.241466716,1.16700885,1.133234288,1.080420738,0.951668644,0.86026509,0.727243816,0.559420832
Mexico,MEX,Surface area (sq. km),AG.SRF.TOTL.K2,1964380,1964380,1964380,1964380,1964375,1964375,1964375,1964375,1964375,1964375,1964375,..
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,42.03833843,50.34771573,59.54675223,60.33626688,61.08999048,61.80709226,62.51149515,63.190544,63.79477919,64.34595077,64.81560843,..
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,41.9,..,43.9,..
Mexico,MEX,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,8.9,3.8,..,3.7,..,3.2,..,2.6,..,3.1,..
Mexico,MEX,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2.34011E+11,6.14244E+11,1.17835E+12,1.22018E+12,1.26384E+12,1.23846E+12,1.15804E+12,1.11262E+12,1.15898E+12,1.20823E+12,1.10289E+12,1.21499E+12
Mexico,MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2860,6280,10180,10400,10640,10310,9530,9060,9350,9660,8750,9590
Mexico,MEX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6.6062E+11,1.0732E+12,1.97388E+12,2.00443E+12,2.11987E+12,2.17259E+12,2.31937E+12,2.39688E+12,2.46737E+12,2.45933E+12,2.33576E+12,2.50157E+12
Mexico,MEX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8080,10970,17050,17090,17850,18080,19090,19510,19900,19660,18540,19740
Mexico,MEX,Income share held by lowest 20%,SI.DST.FRST.20,..,3.7,4.5,..,4.7,..,4.7,..,4.9,..,5,..
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.971,73.569,74.574,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,..
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.45,2.716,2.294,2.269,2.211,2.137,2.086,2.041,1.996,1.916,1.905,..
Mexico,MEX,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,86.2706,78.876,65.97,64.849,63.728,62.607,61.486,60.365,59.4542,58.5434,57.6326,..
Mexico,MEX,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,72.3,66.9,..,..,73.1,..,..,..
Mexico,MEX,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,83.8,88.6,99.6,96.1,95.6,97.7,98,96.6,..,..,..,..
Mexico,MEX,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,45.4,28.4,17.9,17.3,16.8,16.2,15.7,15.2,14.6,14.1,13.7,..
Mexico,MEX,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,2.8,..,..,3.9,4.2,..,..,4.7,4.6,..
Mexico,MEX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75,96,99,89,97,97,96,76,97,73,92,99
Mexico,MEX,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,88.7490387,96.64557648,106.0110092,109.4250412,110.5088425,104.9098206,103.9693909,104.0978394,102.2558899,102.465538,102.6626282,..
Mexico,MEX,"School enrollment, primary (% gross)",SE.PRM.ENRR,112.2526321,108.9979324,110.4134521,109.4414825,108.0057526,106.6061096,106.2777328,105.7700119,105.0280685,104.6558228,103.6920471,..
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,56.10926056,71.76502991,90.66719818,93.3275528,97.34338379,100.8327408,102.4040604,104.3850327,105.103363,104.6472397,101.8352966,..
Mexico,MEX,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.962310016,0.989459991,1.023970008,1.020799994,1.022830009,1.029829979,1.036380053,1.03918004,1.046270013,1.051910043,1.054100037,..
Mexico,MEX,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Mexico,MEX,Forest area (sq. km),AG.LND.FRST.K2,705916.5,683813.5,666983.5,665758.7,664533.9,663309.1,662031.5,660753.8,659476.1,658198.5,656920.8,..
Mexico,MEX,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,6.75214757,19.05623992,19.05623992,18.90985098,18.90984895,18.90984895
Mexico,MEX,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,15.1761439,16.66769123,20.22738386,19.96332518,20.76528117,20.94376528,21.16797066,21.47677262,21.72127139,21.84621027,..,..
Mexico,MEX,Urban population growth (annual %),SP.URB.GROW,2.486373511,1.961319696,1.772296088,1.69143612,1.614346091,1.535980297,1.500848677,1.444185541,1.312866879,1.21892136,1.083378227,0.911823977
Mexico,MEX,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1513.463182,1532.540881,1656.138003,1637.790788,1582.906623,1559.118998,..,..,..,..,..,..
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.29880798,3.87418683,4.202377368,4.056076458,3.892354324,3.925346727,3.894939366,3.839000611,3.649350191,3.591708614,..,..
Mexico,MEX,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1217.272137,1819.349523,2283.071355,2172.175888,2186.375822,..,..,..,..,..,..,..
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,2.61254E+11,7.07907E+11,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.26901E+12,1.09052E+12,1.27284E+12
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.175768387,4.942453715,3.642322679,1.354091962,2.849773255,3.293151528,2.630532425,2.113129135,2.194994725,-0.199047772,-7.98791234,4.720565298
Mexico,MEX,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,19.81522536,27.02596481,33.50167806,32.45922366,33.05191659,36.56420427,39.02003805,39.46417605,41.3018325,39.07606179,37.42320923,42.56280058
Mexico,MEX,Time required to start a business (days),IC.REG.DURS,..,..,..,8.4,8.4,8.4,8.4,8.4,8.4,8.4,..,..
Mexico,MEX,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.078225239,14.38375898,87.0169211,91.01095461,88.37316756,89.62827659,91.94482417,93.07232465,96.89668563,97.561569,97.53972081,97.80246796
Mexico,MEX,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,21.3529893,20.51078069,20.19739103,19.5702756,20.63766375,21.16605033,20.88855295,20.40583358,21.50524939,19.80383459
Mexico,MEX,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,87.77777778,87.77777778,85.55555556,92.22223333,98.8889,93.33336667,90,93.33333333,80,..
Mexico,MEX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.04604E+11,1.78114E+11,4.31651E+11,5.01469E+11,5.36185E+11,5.30515E+11,5.44177E+11,5.78105E+11,6.06454E+11,6.10189E+11,6.05052E+11,6.057E+11
Mexico,MEX,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,21.76715366,31.87210461,17.87853871,10.23264735,11.40344207,12.71427347,19.30061477,14.60039524,11.94705297,13.77989123,16.1346046,14.54965761
Mexico,MEX,Net migration,SM.POP.NETM,-286584,-356430,-48160,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649
Mexico,MEX,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3098000000,7524742980,23208649190,23188811955,24802081325,26233171803,28690957406,32270507679,35768416627,39021789685,42878274907,54130111445
Mexico,MEX,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2634000000,18382284821,18220406949,50827808981,28658898320,36222051328,38870479804,33131610622,37839840989,29681570180,31375040837,33265276774
Mexico,MEX,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,178339996.3,-40459999.08,407899993.9,562390014.6,814890014.6,321070007.3,809340026.9,754609985.4,549299987.8,525159973.1,936059997.6,..
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,26.65167256,9.491561494,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,3.396834156,5.689208477
Mexico,MEX,Consumer price index (2010 = 100),FP.CPI.TOTL,11.75431806,63.31281192,107.6589827,111.7569043,116.2479852,119.4106751,122.7800955,130.1978025,136.5766487,141.542523,146.3504877,154.6766721
Mexico,MEX,Trade (% of GDP),NE.TRD.GNFS.ZS,38.51969641,52.43268175,65.76724582,63.76487661,64.9253579,71.08909011,76.06220914,77.1157445,80.55938423,77.89734695,76.90035371,83.61527162
Mexico,MEX,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,2.650000095,4.889999866,4.909999847,4.809999943,4.309999943,3.859999895,3.420000076,3.269999981,3.480000019,4.449999809,4.090000153
Mexico,MEX,GNI (current US$),NY.GNP.MKTP.CD,2.52628E+11,6.92709E+11,1.17789E+12,1.23737E+12,1.28306E+12,1.1416E+12,1.04958E+12,1.12882E+12,1.18935E+12,1.23201E+12,1.05482E+12,1.23933E+12
Morocco,MAR,"Population, total",SP.POP.TOTL,24570814,28554415,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.735344812,1.330562927,1.353772467,1.344233843,1.30806294,1.253058273,1.223170234,1.191629424,1.117897027,1.043584127,1.053160179,1.051484312
Morocco,MAR,Surface area (sq. km),AG.SRF.TOTL.K2,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,446550,..
Morocco,MAR,Population density (people per sq. km of land area),EN.POP.DNST,55.05447905,63.98031593,74.73038091,75.74171409,76.73897154,77.70660542,78.66292628,79.6059041,80.50080887,81.34530137,82.20652476,..
Morocco,MAR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,15.3,..,4.8,..,..,..,..,..,..,..,..
Morocco,MAR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,4.7,7.9,..,1.4,..,..,..,..,..,..,..,..
Morocco,MAR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,28940345216,40423190599,1.00418E+11,1.05816E+11,1.20634E+11,1.18266E+11,1.1174E+11,1.13775E+11,1.23095E+11,1.28811E+11,1.21231E+11,1.36408E+11
Morocco,MAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1170,1400,2970,3090,3470,3360,3140,3160,3380,3500,3250,3620
Morocco,MAR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,61901445146,1.02023E+11,2.21558E+11,2.33443E+11,2.43275E+11,2.6559E+11,2.70173E+11,2.81151E+11,2.96802E+11,3.1084E+11,2.93607E+11,3.28707E+11
Morocco,MAR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2500,3540,6560,6810,7010,7550,7590,7800,8140,8440,7880,8730
Morocco,MAR,Income share held by lowest 20%,SI.DST.FRST.20,6.6,6.5,..,6.7,..,..,..,..,..,..,..,..
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.448,66.787,71.679,72.122,72.538,72.92,73.284,73.66,73.986,74.27,73.92,..
Morocco,MAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.018,2.796,2.598,2.594,2.548,2.531,2.451,2.451,2.415,2.382,2.353,..
Morocco,MAR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,40.4208,35.5236,33.618,33.1012,32.5844,32.0676,31.5508,31.034,30.681,30.328,29.975,..
Morocco,MAR,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,70.8,..,..,..
Morocco,MAR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,86.6,..,..,..
Morocco,MAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,80.6,52.3,27.8,26.3,24.9,23.5,22.3,21.2,20.3,19.5,18.7,..
Morocco,MAR,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,2.6,..,..,..,..
Morocco,MAR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,79,93,99,99,99,99,99,99,99,99,99,99
Morocco,MAR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,50.83808136,58.70890045,98.01963043,96.02310181,96.30815887,96.25771332,95.04203796,92.92952728,93.59745789,97.13572693,100.0881195,104.0223694
Morocco,MAR,"School enrollment, primary (% gross)",SE.PRM.ENRR,67.43395996,92.98182678,110.7162476,110.3044586,109.9576111,109.5239716,110.3957825,112.4021606,113.8765793,114.764679,115.1526718,113.3698807
Morocco,MAR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,37.35488129,38.68384171,69.74756622,..,..,..,..,79.86486816,80.22619629,81.18557739,82.45423126,83.72805786
Morocco,MAR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.692330003,0.83178997,0.912949979,..,..,..,..,0.930190027,0.941470027,0.951110005,0.96221,0.971239984
Morocco,MAR,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Morocco,MAR,Forest area (sq. km),AG.LND.FRST.K2,54852.9,55065.4,56786.18,56806.42,56826.66,56846.9,56997.9,57115.9,57215.9,57320.9,57424.9,..
Morocco,MAR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,18.54636606,18.44688821,18.44688821,18.44687722,2.822087585,1.584497689
Morocco,MAR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,34.40206897,43.44827586,36.45862069,36.45862069,36.45862069,36.45862069,36.45862069,36.45862069,36.45862069,36.45862069,..,..
Morocco,MAR,Urban population growth (annual %),SP.URB.GROW,3.244899402,1.947439587,2.306865069,2.283303515,2.235073176,2.16662594,2.125203225,2.080753833,1.994383198,1.906108082,1.903584019,1.886932349
Morocco,MAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,310.0618889,385.8898528,559.619196,554.4930267,554.226022,..,..,..,..,..,..,..
Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.875021886,1.151485681,1.741416033,1.703668382,1.713646499,1.741903173,1.718162933,1.787879837,1.808085149,1.968907009,..,..
Morocco,MAR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,362.6253489,494.1442505,873.9461592,879.1390319,902.9565381,..,..,..,..,..,..,..
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,30180108562,38857251336,98266306615,1.06826E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21348E+11,1.42866E+11
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.411812226,1.912872981,3.009961262,4.5354242,19.0472788,4.344582976,0.521185509,5.057898157,3.065641334,2.890974761,-7.187079581,7.929667942
Morocco,MAR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,30.06736691,32.37439513,50.1953694,47.24291504,41.76058012,37.29282204,40.38806524,41.56689689,43.42645015,41.90505841,38.05161144,42.0200381
Morocco,MAR,Time required to start a business (days),IC.REG.DURS,..,..,12,11.5,11.5,10.5,10,9,9,9,..,..
Morocco,MAR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.003644065,8.133729629,117.3709565,125.8279977,129.0186985,124.279337,118.1848162,123.4247246,124.1715549,127.9529984,133.893994,139.2750984
Morocco,MAR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,3.703917178,3.74498484,3.863137725,4.01860222,4.853753944,4.389071068,..
Morocco,MAR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,72.22222222,78.88888889,78.88888889,81.11113333,84.44446667,76.66663333,73.33333333,66.66666667,66.66666667,..
Morocco,MAR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,25026523628,20789667972,33877639847,39283986048,43120469209,44375744032,47585841158,50981725826,50370487823,54992754151,65725745241,65413856759
Morocco,MAR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,28.41282845,29.7171321,10.96605724,15.84912001,13.00208332,10.56680025,11.06497743,10.04562681,9.062000321,9.307273173,13.52406232,13.60791238
Morocco,MAR,Net migration,SM.POP.NETM,-104908,-90376,-65136,-67026,-72062,-81202,-57256,-71807,-89007,-91959,-33807,-46242
Morocco,MAR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2006347290,2160962378,6507905288,6881699960,7788695018,6903543638,6383473884,6823002118,6919419948,6962578453,7414138466,10704830038
Morocco,MAR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,165122977.8,426553283.9,2841954371,3360909924,3525384612,3252913902,2153363905,2680109856,3544387229,1720825003,1418713119,2150839829
Morocco,MAR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1241089966,447380004.9,1471060059,2006670044,2238649902,1517680054,2062310059,2427649902,818200012.2,751719970.7,1828349976,..
Morocco,MAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.782594015,1.894634568,1.287122401,1.880654667,0.442310054,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,0.705968661,1.40195884
Morocco,MAR,Consumer price index (2010 = 100),FP.CPI.TOTL,56.90443061,83.64975329,102.2057205,104.1278572,104.5884252,106.2178157,107.9548075,108.7695027,110.731614,111.0675582,111.8516604,113.4197746
